symbol,price,price_date,name,type
1137975,0.2276,2026-07-23,דה זראסאי אגח ג,"אג""ח קונצרני"
1138163,1.0119,2026-07-23,הראל הנפ אגח יב,"אג""ח קונצרני"
1138171,1.0086,2026-07-23,הראל הנפ אגח יג,"אג""ח קונצרני"
1138379,18.4,2026-07-23,שגריר,מניה רגילה
1138544,1.2676,2026-07-23,ריט 1 אגח ו,"אג""ח קונצרני"
1138650,1.1919,2026-07-23,עזריאלי אגח ד,"אג""ח קונצרני"
1138940,0.997,2026-07-23,סאמיט אגח ח,"אג""ח קונצרני"
1138973,1.2049,2026-07-23,סלע נדלן אגח ג,"אג""ח קונצרני"
1139195,7.886,2026-07-23,מגוריט,מנית ריט
1139344,0.9982,2026-07-23,ממשל שקלית 0327,"אג""ח ממשלתי שחר"
1139542,1.2082,2026-07-23,פז אנרגיה אגח ו,"אג""ח קונצרני"
1139617,6.238,2026-07-23,אוברסיז,מניה רגילה
1139716,1.2022,2026-07-23,לוינשט נכ אגח ב,"אג""ח קונצרני"
1139864,0.409,2026-07-23,רציו פטרול יהש,יחידת השתתפות
1139898,1.0086,2026-07-23,ספנסר אגח ב,"אג""ח קונצרני"
1139955,6.649,2026-07-23,מדיפאואר,מניה רגילה
1140102,1.0028,2026-07-23,אשטרום קב אגח ג,"אג""ח קונצרני"
1140151,0.686,2026-07-23,נובולוג,מניה רגילה
1140193,0.9383,2026-07-23,ממשל שקלית 0347,"אג""ח ממשלתי שחר"
1140573,1.914,2026-07-23,מניבים ריט,מנית ריט
1140607,1.2132,2026-07-23,רבוע נדלן אגח ו,"אג""ח קונצרני"
1140615,1.2091,2026-07-23,רבוע נדלן אגח ז,"אג""ח קונצרני"
1140847,1.2017,2026-07-23,ממשל צמודה 0527,"אג""ח ממשלתי גליל"
1140946,3.873,2026-07-23,לסיכו,מניה רגילה
1141050,1.2008,2026-07-23,ביג אגח ט,"אג""ח קונצרני"
1141316,0.946,2026-07-23,גלובל כנפיים,מניה רגילה
1141324,12.48,2026-07-23,אורמד פארמ,מניה רגילה
1141332,0.8727,2026-07-23,תמר פטרו אגח א,"אג""ח קונצרני"
1141357,31.85,2026-07-23,תמר פטרוליום,מניה רגילה
1141464,44.61,2026-07-23,מור השקעות,מניה רגילה
1141571,99.9,2026-07-23,או פי סי אנרגיה,מניה רגילה
1141696,1.214,2026-07-23,מגה אור אגח ז,"אג""ח קונצרני"
1141829,0.998,2026-07-23,קרסו מוט' אגח ג,"אג""ח קונצרני"
1141852,1.001,2026-07-23,פתאל אירו אגח ג,"אג""ח קונצרני"
1141951,0.9655,2026-07-23,שפיר הנדס אגח ב,"אג""ח קונצרני"
1141969,131.4,2026-07-23,נאוויטס פטר יהש,יחידת השתתפות
1142231,1.216,2026-07-23,אפי נכסים אגח ח,"אג""ח קונצרני"
1142421,0.849,2026-07-23,יעקובי קבוצה,מניה רגילה
1142454,28.09,2026-07-23,אלמור חשמל,מניה רגילה
1142587,5.759,2026-07-23,הולמס פלייס,מניה רגילה
1142595,1.1797,2026-07-23,פז אנרגיה אגח ז,"אג""ח קונצרני"
1142629,1.1778,2026-07-23,גירון אגח ז,"אג""ח קונצרני"
1143080,1.0018,2026-07-23,סלקום אגח יב,"אג""ח קונצרני"
1143122,0.9635,2026-07-23,הראל הנפ אגח יד,"אג""ח קונצרני"
1143130,0.9526,2026-07-23,הראל הנפ אגח טו,"אג""ח קונצרני"
1143163,1.2131,2026-07-23,מישורים אגח ח,"אג""ח קונצרני"
1143379,0.9971,2026-07-23,אוריין אגח ב,"אג""ח קונצרני"
1143395,1.0029,2026-07-23,סאמיט אגח י,"אג""ח קונצרני"
1143411,0.9917,2026-07-23,מנורה הון התח ה,"אג""ח קונצרני"
1143429,678.8,2026-07-23,פתאל החזקות,מניה רגילה
1143585,0.9849,2026-07-23,עמידר אגח א,"אג""ח קונצרני"
1143619,4.48,2026-07-23,רני צים,מניה רגילה
1143635,16.34,2026-07-23,חג'ג' אירופה,מניה רגילה
1144773,31.44,2026-07-23,יוניברסל מוטורס,מניה רגילה
